Date,EBH,WBH,TH,EBM,WBM,TM
2018-05-02,2397,2208,4605,2455,2278,4733
2018-05-03,1322,1102,2424,1312,1150,2462
2018-05-04,1171,1044,2215,1233,1124,2357
2018-05-05,1581,1405,2986,1908,1699,3607
2018-05-06,1192,1123,2315,1312,1310,2622
2018-05-07,2341,2128,4469,2437,2178,4615
2018-05-08,2624,2312,4936,2710,2348,5058
2018-05-09,2595,2297,4892,2728,2412,5140
2018-05-10,2141,1811,3952,2165,1883,4048
2018-05-11,2038,1772,3810,2130,1877,4007
2018-05-12,1394,1312,2706,1647,1445,3092
2018-05-13,1389,1303,2692,1681,1519,3200
2018-05-14,2451,2142,4593,2480,2194,4674
2018-05-15,1430,1252,2682,1467,1338,2805
2018-05-16,2735,2486,5221,2725,2444,5169
2018-05-17,2566,2234,4800,2645,2353,4998
2018-05-18,2166,1904,4070,2226,2030,4256
2018-05-19,698,642,1340,863,736,1599
2018-05-20,1265,1145,2410,1531,1431,2962
2018-05-21,1278,1106,2384,1553,1423,2976
2018-05-22,1534,1421,2955,1597,1479,3076
2018-05-23,2759,2468,5227,2837,2552,5389
2018-05-24,2708,2344,5052,2769,2380,5149
2018-05-25,2537,2219,4756,2655,2334,4989
2018-05-26,1744,1527,3271,2199,1998,4197
2018-05-27,1714,1556,3270,2037,1880,3917
2018-05-28,2662,2262,4924,2718,2465,5183
2018-05-29,2893,2495,5388,2939,2527,5466
2018-05-30,2861,2589,5450,2954,2592,5546
2018-05-31,2048,1859,3907,2102,1872,3974
2018-06-01,2489,2278,4767,2585,2264,4849
2018-06-02,1649,1598,3247,2060,1914,3974
2018-06-03,1130,1060,2190,1473,1242,2715
2018-06-04,2319,2153,4472,2348,2104,4452
2018-06-05,2534,2283,4817,2549,2273,4822
2018-06-06,2486,2301,4787,2500,2272,4772
2018-06-07,2746,2464,5210,2748,2451,5199
2018-06-08,2501,2319,4820,2698,2364,5062
2018-06-09,1652,1724,3376,2060,1946,4006
2018-06-10,1627,1552,3179,1951,1835,3786
2018-06-11,2780,2475,5255,2749,2502,5251
2018-06-12,2861,2478,5339,2931,2606,5537
2018-06-13,1934,1756,3690,2052,1801,3853
2018-06-14,2685,2454,5139,2771,2478,5249
2018-06-15,2485,2192,4677,2725,2423,5148
2018-06-16,1740,1660,3400,2047,2000,4047
2018-06-17,1489,1324,2813,1808,1658,3466
2018-06-18,2038,1837,3875,2007,1806,3813
2018-06-19,2882,2580,5462,2878,2504,5382
2018-06-20,2864,2729,5593,2869,2579,5448
2018-06-21,2813,2516,5329,2926,2614,5540
2018-06-22,2454,2200,4654,2508,2151,4659
2018-06-23,980,962,1942,1124,1037,2161
2018-06-24,851,853,1704,964,921,1885
2018-06-25,2577,2399,4976,2618,2422,5040
2018-06-26,2823,2520,5343,2886,2482,5368
2018-06-27,1663,1574,3237,1711,1556,3267
2018-06-28,2613,2376,4989,2772,2444,5216
2018-06-29,2214,2080,4294,2368,2205,4573
2018-06-30,1358,1260,2618,1622,1450,3072
2018-07-01,1017,980,1997,1299,1183,2482
2018-07-02,1065,1023,2088,1346,1207,2553
2018-07-03,2343,2154,4497,2496,2273,4769
2018-07-04,2531,2319,4850,2688,2389,5077
2018-07-05,2189,1905,4094,2248,1928,4176
2018-07-06,2294,2169,4463,2287,2279,4566
2018-07-07,1683,1598,3281,2007,1865,3872
2018-07-08,1619,1523,3142,1937,1728,3665
2018-07-09,2529,2324,4853,2585,2366,4951
2018-07-10,2703,2403,5106,2722,2384,5106
2018-07-11,2797,2555,5352,2897,2567,5464
2018-07-12,2659,2467,5126,2782,2476,5258
2018-07-13,2496,2248,4744,2605,2290,4895
2018-07-14,1496,1414,2910,1764,1529,3293
2018-07-15,1466,1407,2873,1802,1651,3453
2018-07-16,1949,1759,3708,1635,1713,3348
2018-07-17,2692,2496,5188,2814,2506,5320
2018-07-18,2791,2613,5404,2832,2608,5440
2018-07-19,2679,2382,5061,2813,2497,5310
2018-07-20,2375,2064,4439,2507,2257,4764
2018-07-21,1581,1567,3148,1879,1805,3684
2018-07-22,823,790,1613,1014,927,1941
2018-07-23,2215,2136,4351,2309,2076,4385
2018-07-24,2284,2012,4296,2333,2025,4358
2018-07-25,2544,2419,4963,2647,2364,5011
2018-07-26,2244,2003,4247,2369,2007,4376
